Date,Time,Activity,Confidence,Activity
11/25/2017,1:51 PM,In a vehicle,0.98,2
11/25/2017,1:51 PM,In a vehicle,0.97,2
11/25/2017,1:51 PM,In a vehicle,0.94,2
11/25/2017,1:52 PM,In a vehicle,0.94,2
11/25/2017,1:52 PM,In a vehicle,0.89,2
11/25/2017,1:52 PM,In a vehicle,0.52,2
11/25/2017,1:52 PM,Tilting,1,1
11/25/2017,1:53 PM,Tilting,1,1
11/25/2017,1:54 PM,Tilting,1,1
11/25/2017,1:54 PM,Still,0.41,0
11/25/2017,1:55 PM,Still,0.7,0
11/25/2017,1:55 PM,Still,0.59,0
11/25/2017,1:55 PM,Still,0.43,0
11/25/2017,1:55 PM,On a bicycle,0.69,3
11/25/2017,1:57 PM,On foot,0.57,4
11/25/2017,1:57 PM,Walking,0.57,5
11/25/2017,1:57 PM,On foot,0.97,4
11/25/2017,1:57 PM,Walking,0.97,5
11/25/2017,1:57 PM,On foot,0.91,4
11/25/2017,1:57 PM,Walking,0.91,5
11/25/2017,1:57 PM,On foot,0.84,4
11/25/2017,1:57 PM,Walking,0.84,5
11/25/2017,1:57 PM,On foot,0.94,4
11/25/2017,1:57 PM,Walking,0.94,5
11/25/2017,1:57 PM,On foot,0.86,4
11/25/2017,1:57 PM,Walking,0.86,5
11/25/2017,1:57 PM,Still,0.49,0
11/25/2017,1:59 PM,Still,0.6,0
11/25/2017,1:59 PM,Still,1,0
11/25/2017,1:59 PM,Still,1,0
11/25/2017,1:59 PM,Still,1,0
11/25/2017,1:59 PM,Still,1,0
11/25/2017,1:59 PM,Still,1,0
11/25/2017,1:59 PM,Still,0.43,0
11/25/2017,2:00 PM,Still,0.65,0
11/25/2017,2:00 PM,Still,1,0
11/25/2017,2:00 PM,Still,0.55,0
11/25/2017,2:00 PM,Still,1,0
11/25/2017,2:00 PM,Still,1,0
11/25/2017,2:00 PM,Still,1,0
11/25/2017,2:00 PM,Still,0.54,0
11/25/2017,2:00 PM,Still,1,0
11/25/2017,2:00 PM,Still,0.45,0
11/25/2017,2:00 PM,Still,0.49,0
11/25/2017,2:00 PM,Still,1,0
11/25/2017,2:01 PM,Still,0.64,0
11/25/2017,2:01 PM,Still,0.52,0
11/25/2017,2:01 PM,Still,0.86,0
11/25/2017,2:01 PM,Still,0.84,0
11/25/2017,2:01 PM,Still,0.5,0
11/25/2017,2:01 PM,Still,1,0
11/25/2017,2:01 PM,Still,0.81,0
11/25/2017,2:01 PM,Still,1,0
11/25/2017,2:01 PM,Still,1,0
11/25/2017,2:01 PM,Still,0.61,0
11/25/2017,2:01 PM,Still,0.53,0
11/25/2017,2:02 PM,Still,1,0
11/25/2017,2:02 PM,Still,1,0
11/25/2017,2:02 PM,Still,1,0
11/25/2017,2:02 PM,Still,1,0
11/25/2017,2:02 PM,Still,1,0
11/25/2017,2:02 PM,Still,1,0
11/25/2017,2:02 PM,Still,1,0
11/25/2017,2:02 PM,Still,0.5,0
11/25/2017,2:02 PM,Still,0.81,0
11/25/2017,2:02 PM,Still,0.93,0
11/25/2017,2:02 PM,Still,1,0
11/25/2017,2:02 PM,Still,1,0
11/25/2017,2:03 PM,Still,1,0
11/25/2017,2:03 PM,Still,1,0
11/25/2017,2:03 PM,Still,1,0
11/25/2017,2:03 PM,Still,1,0
11/25/2017,2:03 PM,Still,1,0
11/25/2017,2:03 PM,Still,1,0
11/25/2017,2:03 PM,Still,0.45,0
11/25/2017,2:04 PM,Still,0.49,0
11/25/2017,2:04 PM,Still,0.55,0
11/25/2017,2:04 PM,Still,0.79,0
11/25/2017,2:04 PM,Still,0.44,0
11/25/2017,2:04 PM,Still,0.45,0
11/25/2017,2:04 PM,Still,0.46,0
11/25/2017,2:04 PM,Still,0.66,0
11/25/2017,2:04 PM,Still,0.56,0
11/25/2017,2:04 PM,Still,0.68,0
11/25/2017,2:05 PM,Still,0.89,0
11/25/2017,2:05 PM,Still,0.89,0
11/25/2017,2:05 PM,Still,0.75,0
11/25/2017,2:06 PM,Still,1,0
11/25/2017,2:06 PM,Still,1,0
11/25/2017,2:06 PM,Still,0.59,0
11/25/2017,2:06 PM,Still,0.7,0
11/25/2017,2:06 PM,Still,1,0
11/25/2017,2:06 PM,Still,0.49,0
11/25/2017,2:06 PM,Still,0.67,0
11/25/2017,2:06 PM,Still,0.85,0
11/25/2017,2:06 PM,Still,0.52,0
11/25/2017,2:06 PM,Still,1,0
11/25/2017,2:07 PM,Still,0.77,0
11/25/2017,2:07 PM,Still,0.44,0
11/25/2017,2:07 PM,Still,0.77,0
11/25/2017,2:07 PM,Still,0.69,0
11/25/2017,2:07 PM,Still,0.81,0
11/25/2017,2:07 PM,Still,0.73,0
